run_idx,step,J,true_crop_sum,ugv0_y,ugv0_x,ugv0_mu,ugv0_var,ugv0_prob,ugv0_visited_count,ugv0_visited_mu_sum,ugv0_visited_var_sum,ugv0_visited_prob_sum,ugv0_reachable_rmse,ugv0_reachable_mae,ugv0_reachable_var,ugv0_reachable_calib,ugv0_reachable_cell_count,ugv1_y,ugv1_x,ugv1_mu,ugv1_var,ugv1_prob,ugv1_visited_count,ugv1_visited_mu_sum,ugv1_visited_var_sum,ugv1_visited_prob_sum,ugv1_reachable_rmse,ugv1_reachable_mae,ugv1_reachable_var,ugv1_reachable_calib,ugv1_reachable_cell_count
6,0,858.6649755109362,6.791892379259086,20,13,0.5906718784158344,0.8287976804482166,0.6116594860392096,2,0.6140231807759556,1.828774399417523,1.1166060911915627,2.0848877886182624,1.869022510278387,0.884811297547907,3.5893539845982527,107,10,13,0.02623923640956428,0.9999251956369827,0.505556685278879,2,0.04959053876968561,1.999901914606289,1.010503290431232,5.522167273055228,5.11496420385723,0.982787038353282,29.511544353248933,103
6,1,856.960934434441,6.791892379259086,20,14,0.9363526459806151,0.788193764977374,0.6436450107781783,3,1.820305292878931,2.6037148916129005,1.7846448730253814,2.1266090517682295,1.8406797660791845,0.8777692490853469,3.8082439695852215,105,10,12,0.005602466452548603,0.9992863803415784,0.5011871740013444,3,0.029106597820573593,2.999172737764508,1.5061662466382713,5.051461640400972,4.661927861833321,0.9703149688595261,24.54694973558295,105
6,2,856.960934434441,6.791892379259086,20,14,0.9363526459806151,0.788193764977374,0.6436450107781783,3,1.820305292878931,2.6037148916129005,1.7846448730253814,2.1266090517682295,1.8406797660791845,0.8777692490853469,3.8082439695852215,105,10,12,0.005602466452548603,0.9992863803415784,0.5011871740013444,3,0.029106597820573593,2.999172737764508,1.5061662466382713,5.051461640400972,4.661927861833321,0.9703149688595261,24.54694973558295,105
6,3,856.960934434441,6.791892379259086,20,14,0.9363526459806151,0.788193764977374,0.6436450107781783,3,1.820305292878931,2.6037148916129005,1.7846448730253814,2.1266090517682295,1.8406797660791845,0.8777692490853469,3.8082439695852215,105,10,12,0.005602466452548603,0.9992863803415784,0.5011871740013444,3,0.029106597820573593,2.999172737764508,1.5061662466382713,5.051461640400972,4.661927861833321,0.9703149688595261,24.54694973558295,105
6,4,856.960934434441,6.791892379259086,20,14,0.9363526459806151,0.788193764977374,0.6436450107781783,3,1.820305292878931,2.6037148916129005,1.7846448730253814,2.1266090517682295,1.8406797660791845,0.8777692490853469,3.8082439695852215,105,10,12,0.005602466452548603,0.9992863803415784,0.5011871740013444,3,0.029106597820573593,2.999172737764508,1.5061662466382713,5.051461640400972,4.661927861833321,0.9703149688595261,24.54694973558295,105
6,5,856.960934434441,6.791892379259086,20,14,0.9363526459806151,0.788193764977374,0.6436450107781783,3,1.820305292878931,2.6037148916129005,1.7846448730253814,2.1266090517682295,1.8406797660791845,0.8777692490853469,3.8082439695852215,105,10,12,0.005602466452548603,0.9992863803415784,0.5011871740013444,3,0.029106597820573593,2.999172737764508,1.5061662466382713,5.051461640400972,4.661927861833321,0.9703149688595261,24.54694973558295,105
6,6,840.4586873125282,6.791892379259086,20,14,0.8457058014931452,0.7864115931966845,0.6378330362826482,3,1.5971415398073283,2.5842899464981395,1.7688717726911816,2.0792412030068834,1.7908765753786076,0.8363501648189878,3.6233036969993933,105,10,12,0.13507906479856077,0.985238034226624,0.5285125879076054,3,0.19920508137774393,2.98326574923189,1.5420952211479801,4.957743843884798,4.484191197889991,0.9321733710296084,23.647050650548007,105
6,7,840.4586873125282,6.791892379259086,20,14,0.8457058014931452,0.7864115931966845,0.6378330362826482,3,1.5971415398073283,2.5842899464981395,1.7688717726911816,2.0792412030068834,1.7908765753786076,0.8363501648189878,3.6233036969993933,105,10,12,0.13507906479856077,0.985238034226624,0.5285125879076054,3,0.19920508137774393,2.98326574923189,1.5420952211479801,4.957743843884798,4.484191197889991,0.9321733710296084,23.647050650548007,105
6,8,840.4586873125282,6.791892379259086,20,14,0.8457058014931452,0.7864115931966845,0.6378330362826482,3,1.5971415398073283,2.5842899464981395,1.7688717726911816,2.0792412030068834,1.7908765753786076,0.8363501648189878,3.6233036969993933,105,10,12,0.13507906479856077,0.985238034226624,0.5285125879076054,3,0.19920508137774393,2.98326574923189,1.5420952211479801,4.957743843884798,4.484191197889991,0.9321733710296084,23.647050650548007,105
6,9,840.4586873125282,6.791892379259086,20,14,0.8457058014931452,0.7864115931966845,0.6378330362826482,3,1.5971415398073283,2.5842899464981395,1.7688717726911816,2.0792412030068834,1.7908765753786076,0.8363501648189878,3.6233036969993933,105,10,12,0.13507906479856077,0.985238034226624,0.5285125879076054,3,0.19920508137774393,2.98326574923189,1.5420952211479801,4.957743843884798,4.484191197889991,0.9321733710296084,23.647050650548007,105
6,10,840.4586873125282,13.13754714284098,20,14,0.8457058014931452,0.7864115931966845,0.6378330362826482,3,1.5971415398073283,2.5842899464981395,1.7688717726911816,2.0792412030068834,1.7908765753786076,0.8363501648189878,3.6233036969993933,105,10,12,0.13507906479856077,0.985238034226624,0.5285125879076054,3,0.19920508137774393,2.98326574923189,1.5420952211479801,4.957743843884798,4.484191197889991,0.9321733710296084,23.647050650548007,105
6,11,825.4269207223997,13.13754714284098,20,15,0.8776377768669481,0.7855353119576295,0.6406392675802638,4,2.514951039163882,3.366663198037692,2.41328115259591,2.194568598277371,1.8630559120456611,0.8236869686285884,4.150594568222307,106,10,11,0.08958981615093696,0.9142227536207489,0.5196159600127427,4,0.1401172755771961,3.8912027576509987,2.03036492360735,4.432602054641628,3.959908956163574,0.8818728914797342,18.76608808333345,106
