run_idx,step,J,true_crop_sum,calibrator_theta,calibrator_w,calibrator_b,calibrator_learned_threshold,calibrator_num_samples,ugv0_y,ugv0_x,ugv0_mu,ugv0_var,ugv0_prob,ugv0_visited_count,ugv0_visited_mu_sum,ugv0_visited_var_sum,ugv0_visited_prob_sum,ugv0_reachable_rmse,ugv0_reachable_mae,ugv0_reachable_var,ugv0_reachable_calib,ugv0_reachable_cell_count,ugv0_path_rmse,ugv0_path_mae,ugv0_path_var,ugv0_target_error,ugv0_target_var,ugv0_path_true_sum,ugv0_path_mu_sum,ugv0_path_var_sum,ugv0_path_prob_sum,ugv0_path_expected_sum,ugv0_target_true,ugv0_target_mu,ugv0_target_prob,ugv0_target_expected,ugv1_y,ugv1_x,ugv1_mu,ugv1_var,ugv1_prob,ugv1_visited_count,ugv1_visited_mu_sum,ugv1_visited_var_sum,ugv1_visited_prob_sum,ugv1_reachable_rmse,ugv1_reachable_mae,ugv1_reachable_var,ugv1_reachable_calib,ugv1_reachable_cell_count,ugv1_path_rmse,ugv1_path_mae,ugv1_path_var,ugv1_target_error,ugv1_target_var,ugv1_path_true_sum,ugv1_path_mu_sum,ugv1_path_var_sum,ugv1_path_prob_sum,ugv1_path_expected_sum,ugv1_target_true,ugv1_target_mu,ugv1_target_prob,ugv1_target_expected
5,0,858.6629439400824,6.322516486295432,4.0,1.0,-4.0,4.0,2,19,16,0.9022422022872565,0.7321463350516327,0.061222922739261554,2,0.9920885788171749,1.7306056822962395,0.09631512490805194,3.3032680231105314,2.9322292131022007,0.8861699281132629,10.025409704391294,105,2.061642493212336,1.943705574891949,0.7227464567653522,1.1765337103902835,0.6980457738356644,20.84957620922135,7.243637184977704,5.059225197357465,0.48385119207731286,0.520336222730508,1.9724764205383496,0.7959427101480662,0.055276813823952026,0.04399717700338646,10,12,0.13260694491928313,0.9845138713117345,0.036114493544365404,2,0.22245332144920157,1.9829732185563413,0.0712066957131558,4.22251825572978,4.0803205510430995,0.9075338145363462,16.922126605434908,106,4.5671192306063695,4.562091060665301,0.8691148865577935,4.281676019031352,0.9978032007299352,38.79050439398928,6.855866969332174,6.0838042059045545,0.5862222851851835,0.8955795741817677,4.350040065757082,0.06836404672573086,0.034470612048670295,0.0023565505327598373
5,1,856.9586406119961,6.322516486295432,4.0,1.0,-4.0,4.0,2,20,16,1.103763832694714,0.6903565717321558,0.07116834847719905,3,2.173287378942738,2.4080675936658196,0.1713929861581373,3.5416258400575775,3.0693768523890856,0.8789617017603337,11.664151889203207,105,2.3969091923369428,2.196312714737885,0.7059283342407392,1.045483539620307,0.6958129421010387,23.444438043372507,8.070249040207308,4.941498339685174,0.5256250921990523,0.6167023470058267,2.135395103168309,1.089911563548002,0.07050268671076253,0.07684169350726212,10,13,0.06108056754080767,0.9974936929297802,0.03426090234853146,3,0.25689582825228696,2.9782391623985767,0.10465576622804967,4.422030419689793,4.255519958981367,0.9057934508234102,18.648559581838462,106,4.659330703108764,4.6531873261930965,0.8187834404091132,4.339086654893086,0.9974029540799526,41.96460064519093,9.392289361839255,5.731484082863792,0.7629850779457352,1.4141510020787766,4.45749579255699,0.11840913766390328,0.03590423025413565,0.004251388942878429
5,2,856.9586406119961,6.322516486295432,4.0,1.0,-4.0,4.0,2,20,16,1.103763832694714,0.6903565717321558,0.07116834847719905,3,2.173287378942738,2.4080675936658196,0.1713929861581373,3.5416258400575775,3.0693768523890856,0.8789617017603337,11.664151889203207,105,2.3969091923369428,2.196312714737885,0.7059283342407392,1.045483539620307,0.6958129421010387,23.444438043372507,8.070249040207308,4.941498339685174,0.5256250921990523,0.6167023470058267,2.135395103168309,1.089911563548002,0.07050268671076253,0.07684169350726212,10,13,0.06108056754080767,0.9974936929297802,0.03426090234853146,3,0.25689582825228696,2.9782391623985767,0.10465576622804967,4.422030419689793,4.255519958981367,0.9057934508234102,18.648559581838462,106,4.659330703108764,4.6531873261930965,0.8187834404091132,4.339086654893086,0.9974029540799526,41.96460064519093,9.392289361839255,5.731484082863792,0.7629850779457352,1.4141510020787766,4.45749579255699,0.11840913766390328,0.03590423025413565,0.004251388942878429
5,3,856.9586406119961,6.322516486295432,4.0,1.0,-4.0,4.0,2,20,16,1.103763832694714,0.6903565717321558,0.07116834847719905,3,2.173287378942738,2.4080675936658196,0.1713929861581373,3.5416258400575775,3.0693768523890856,0.8789617017603337,11.664151889203207,105,2.3969091923369428,2.196312714737885,0.7059283342407392,1.045483539620307,0.6958129421010387,23.444438043372507,8.070249040207308,4.941498339685174,0.5256250921990523,0.6167023470058267,2.135395103168309,1.089911563548002,0.07050268671076253,0.07684169350726212,10,13,0.06108056754080767,0.9974936929297802,0.03426090234853146,3,0.25689582825228696,2.9782391623985767,0.10465576622804967,4.422030419689793,4.255519958981367,0.9057934508234102,18.648559581838462,106,4.659330703108764,4.6531873261930965,0.8187834404091132,4.339086654893086,0.9974029540799526,41.96460064519093,9.392289361839255,5.731484082863792,0.7629850779457352,1.4141510020787766,4.45749579255699,0.11840913766390328,0.03590423025413565,0.004251388942878429
5,4,856.9586406119961,6.322516486295432,4.0,1.0,-4.0,4.0,2,20,16,1.103763832694714,0.6903565717321558,0.07116834847719905,3,2.173287378942738,2.4080675936658196,0.1713929861581373,3.5416258400575775,3.0693768523890856,0.8789617017603337,11.664151889203207,105,2.3969091923369428,2.196312714737885,0.7059283342407392,1.045483539620307,0.6958129421010387,23.444438043372507,8.070249040207308,4.941498339685174,0.5256250921990523,0.6167023470058267,2.135395103168309,1.089911563548002,0.07050268671076253,0.07684169350726212,10,13,0.06108056754080767,0.9974936929297802,0.03426090234853146,3,0.25689582825228696,2.9782391623985767,0.10465576622804967,4.422030419689793,4.255519958981367,0.9057934508234102,18.648559581838462,106,4.659330703108764,4.6531873261930965,0.8187834404091132,4.339086654893086,0.9974029540799526,41.96460064519093,9.392289361839255,5.731484082863792,0.7629850779457352,1.4141510020787766,4.45749579255699,0.11840913766390328,0.03590423025413565,0.004251388942878429
5,5,856.9586406119961,6.322516486295432,4.0,1.0,-4.0,4.0,2,20,16,1.103763832694714,0.6903565717321558,0.07116834847719905,3,2.173287378942738,2.4080675936658196,0.1713929861581373,3.5416258400575775,3.0693768523890856,0.8789617017603337,11.664151889203207,105,2.3969091923369428,2.196312714737885,0.7059283342407392,1.045483539620307,0.6958129421010387,23.444438043372507,8.070249040207308,4.941498339685174,0.5256250921990523,0.6167023470058267,2.135395103168309,1.089911563548002,0.07050268671076253,0.07684169350726212,10,13,0.06108056754080767,0.9974936929297802,0.03426090234853146,3,0.25689582825228696,2.9782391623985767,0.10465576622804967,4.422030419689793,4.255519958981367,0.9057934508234102,18.648559581838462,106,4.659330703108764,4.6531873261930965,0.8187834404091132,4.339086654893086,0.9974029540799526,41.96460064519093,9.392289361839255,5.731484082863792,0.7629850779457352,1.4141510020787766,4.45749579255699,0.11840913766390328,0.03590423025413565,0.004251388942878429
5,6,841.4573972895566,6.322516486295432,4.0,1.0,-4.0,4.0,2,20,16,1.1656702927431846,0.687473427499484,0.07480703192325129,3,2.322152906539952,2.4018033949057593,0.1794720288079285,3.5259017181081402,3.057165909296907,0.8606547550619665,11.571328170695967,105,2.2145655746485713,2.079247288815377,0.6932017634916774,0.9967049920927198,0.6922421277169623,22.59453103294581,8.039800011238171,4.852412344441742,0.5203658980636486,0.6055275148744815,2.135395103168309,1.1386901110755892,0.07329371330265515,0.08345882654174278,10,13,0.08677602335103374,0.9971518188726609,0.034983532391931735,3,0.36020176889464434,2.9756288024161366,0.10764562488443341,4.345424340503961,4.162599535559319,0.8872904941275647,17.995422204916732,106,4.624398764375783,4.618712933068145,0.8156389385676571,4.326558474940169,0.9969797001817978,41.96460064519093,9.633610113713923,5.7094725699736,0.7806845425688557,1.4658296561071005,4.45749579255699,0.1309373176168207,0.03626680834785432,0.004748678603591365
5,7,841.4573972895566,6.322516486295432,4.0,1.0,-4.0,4.0,2,20,16,1.1656702927431846,0.687473427499484,0.07480703192325129,3,2.322152906539952,2.4018033949057593,0.1794720288079285,3.5259017181081402,3.057165909296907,0.8606547550619665,11.571328170695967,105,2.2145655746485713,2.079247288815377,0.6932017634916774,0.9967049920927198,0.6922421277169623,22.59453103294581,8.039800011238171,4.852412344441742,0.5203658980636486,0.6055275148744815,2.135395103168309,1.1386901110755892,0.07329371330265515,0.08345882654174278,10,13,0.08677602335103374,0.9971518188726609,0.034983532391931735,3,0.36020176889464434,2.9756288024161366,0.10764562488443341,4.345424340503961,4.162599535559319,0.8872904941275647,17.995422204916732,106,4.624398764375783,4.618712933068145,0.8156389385676571,4.326558474940169,0.9969797001817978,41.96460064519093,9.633610113713923,5.7094725699736,0.7806845425688557,1.4658296561071005,4.45749579255699,0.1309373176168207,0.03626680834785432,0.004748678603591365
5,8,841.4573972895566,6.322516486295432,4.0,1.0,-4.0,4.0,2,20,16,1.1656702927431846,0.687473427499484,0.07480703192325129,3,2.322152906539952,2.4018033949057593,0.1794720288079285,3.5259017181081402,3.057165909296907,0.8606547550619665,11.571328170695967,105,2.2145655746485713,2.079247288815377,0.6932017634916774,0.9967049920927198,0.6922421277169623,22.59453103294581,8.039800011238171,4.852412344441742,0.5203658980636486,0.6055275148744815,2.135395103168309,1.1386901110755892,0.07329371330265515,0.08345882654174278,10,13,0.08677602335103374,0.9971518188726609,0.034983532391931735,3,0.36020176889464434,2.9756288024161366,0.10764562488443341,4.345424340503961,4.162599535559319,0.8872904941275647,17.995422204916732,106,4.624398764375783,4.618712933068145,0.8156389385676571,4.326558474940169,0.9969797001817978,41.96460064519093,9.633610113713923,5.7094725699736,0.7806845425688557,1.4658296561071005,4.45749579255699,0.1309373176168207,0.03626680834785432,0.004748678603591365
5,9,841.4573972895566,6.322516486295432,4.0,1.0,-4.0,4.0,2,20,16,1.1656702927431846,0.687473427499484,0.07480703192325129,3,2.322152906539952,2.4018033949057593,0.1794720288079285,3.5259017181081402,3.057165909296907,0.8606547550619665,11.571328170695967,105,2.2145655746485713,2.079247288815377,0.6932017634916774,0.9967049920927198,0.6922421277169623,22.59453103294581,8.039800011238171,4.852412344441742,0.5203658980636486,0.6055275148744815,2.135395103168309,1.1386901110755892,0.07329371330265515,0.08345882654174278,10,13,0.08677602335103374,0.9971518188726609,0.034983532391931735,3,0.36020176889464434,2.9756288024161366,0.10764562488443341,4.345424340503961,4.162599535559319,0.8872904941275647,17.995422204916732,106,4.624398764375783,4.618712933068145,0.8156389385676571,4.326558474940169,0.9969797001817978,41.96460064519093,9.633610113713923,5.7094725699736,0.7806845425688557,1.4658296561071005,4.45749579255699,0.1309373176168207,0.03626680834785432,0.004748678603591365
5,10,841.4573972895566,12.915407382020732,4.0,1.0,-4.0,4.0,4,20,16,1.1656702927431846,0.687473427499484,0.07480703192325129,3,2.322152906539952,2.4018033949057593,0.1794720288079285,3.5259017181081402,3.057165909296907,0.8606547550619665,11.571328170695967,105,2.2145655746485713,2.079247288815377,0.6932017634916774,0.9967049920927198,0.6922421277169623,22.59453103294581,8.039800011238171,4.852412344441742,0.5203658980636486,0.6055275148744815,2.135395103168309,1.1386901110755892,0.07329371330265515,0.08345882654174278,10,13,0.08677602335103374,0.9971518188726609,0.034983532391931735,3,0.36020176889464434,2.9756288024161366,0.10764562488443341,4.345424340503961,4.162599535559319,0.8872904941275647,17.995422204916732,106,4.624398764375783,4.618712933068145,0.8156389385676571,4.326558474940169,0.9969797001817978,41.96460064519093,9.633610113713923,5.7094725699736,0.7806845425688557,1.4658296561071005,4.45749579255699,0.1309373176168207,0.03626680834785432,0.004748678603591365
5,11,827.5492800570341,12.915407382020732,4.0,1.0,-4.0,4.0,4,21,16,1.1441400175368126,0.6915274135645322,0.07360356546677813,4,3.4518139533066994,3.0926468455667684,0.2522809525217026,3.827452827395283,3.324983954786958,0.8538924027170106,13.795502743219137,106,2.6915619662071486,2.5575596801779645,0.6889196646486517,1.4006473286886818,0.7010785212436618,26.74301215719091,8.840094395945163,4.822437652540562,0.5785094722566337,0.7615562290432455,2.4679958136389075,1.0673484849502257,0.06933941019089851,0.07400931441459777,10,14,0.10991792647833011,0.9967053856001787,0.03564474888947316,4,0.47076527323124207,3.9718582521260846,0.14331404773159484,4.586784462082335,4.369650944039438,0.8870730456668136,20.151518655933117,105,4.779252405264028,4.772764780485223,0.7670072832007054,4.659055662841444,0.977776301671924,45.1547170935004,11.745363630103842,5.369050982404938,0.937379004713946,1.9459275519643378,4.95900153554338,0.29994587270193557,0.041281923318921755,0.01238234251670837
