step,J,true_crop_sum,run
238,1885.4872551236072,457.0,0
239,1885.4872551236072,459.0,0
240,1881.0767957682478,461.0,0
241,1881.0767957682478,463.0,0
242,1881.0767957682478,465.0,0
243,1881.0767957682478,467.0,0
244,1881.0767957682478,469.0,0
245,1881.299404201664,471.0,0
246,1881.299404201664,473.0,0
247,1881.299404201664,475.0,0
248,1881.299404201664,477.0,0
249,1881.299404201664,479.0,0
250,1873.0902748658973,481.0,0
251,1873.0902748658973,483.0,0
252,1873.0902748658973,485.0,0
253,1873.0902748658973,487.0,0
254,1873.0902748658973,489.0,0
255,1870.9260706198002,491.0,0
256,1870.9260706198002,493.0,0
257,1870.9260706198002,495.0,0
258,1870.9260706198002,497.0,0
259,1870.9260706198002,499.0,0
260,1864.1946650453958,501.0,0
261,1864.1946650453958,503.0,0
262,1864.1946650453958,505.0,0
263,1864.1946650453958,507.0,0
264,1864.1946650453958,509.0,0
265,1862.7630811054946,511.0,0
266,1862.7630811054946,513.0,0
267,1862.7630811054946,515.0,0
268,1862.7630811054946,517.0,0
269,1862.7630811054946,519.0,0
270,1864.0134973068511,521.0,0
271,1864.0134973068511,523.0,0
272,1864.0134973068511,525.0,0
273,1864.0134973068511,527.0,0
274,1864.0134973068511,529.0,0
275,1862.6805092756335,531.0,0
276,1862.6805092756335,532.0,0
277,1862.6805092756335,534.0,0
278,1862.6805092756335,536.0,0
279,1862.6805092756335,538.0,0
280,1864.4839589422718,540.0,0
281,1864.4839589422718,542.0,0
282,1864.4839589422718,544.0,0
283,1864.4839589422718,545.0,0
284,1864.4839589422718,546.0,0
285,1860.2255625373539,548.0,0
286,1860.2255625373539,548.0,0
287,1860.2255625373539,549.0,0
288,1860.2255625373539,550.0,0
289,1860.2255625373539,552.0,0
290,1853.9447583832061,554.0,0
291,1853.9447583832061,556.0,0
292,1853.9447583832061,558.0,0
293,1853.9447583832061,560.0,0
294,1853.9447583832061,562.0,0
295,1848.7090902421014,564.0,0
296,1848.7090902421014,566.0,0
297,1848.7090902421014,566.0,0
298,1848.7090902421014,566.0,0
299,1848.7090902421014,566.0,0
300,1841.194223142715,566.0,0
301,1841.194223142715,566.0,0
302,1841.194223142715,566.0,0
303,1841.194223142715,566.0,0
304,1841.194223142715,566.0,0
305,1839.6574813085485,566.0,0
306,1839.6574813085485,567.0,0
307,1839.6574813085485,568.0,0
308,1839.6574813085485,569.0,0
309,1839.6574813085485,570.0,0
310,1830.5970388443275,571.0,0
311,1830.5970388443275,573.0,0
312,1830.5970388443275,575.0,0
313,1830.5970388443275,577.0,0
314,1830.5970388443275,579.0,0
315,1826.960881123722,581.0,0
316,1826.960881123722,583.0,0
317,1826.960881123722,585.0,0
318,1826.960881123722,587.0,0
319,1826.960881123722,589.0,0
320,1825.8240819901184,591.0,0
321,1825.8240819901184,593.0,0
322,1825.8240819901184,595.0,0
323,1825.8240819901184,597.0,0
324,1825.8240819901184,599.0,0
325,1821.4404447980369,601.0,0
326,1821.4404447980369,603.0,0
327,1821.4404447980369,605.0,0
328,1821.4404447980369,607.0,0
329,1821.4404447980369,608.0,0
330,1816.0791733879455,610.0,0
331,1816.0791733879455,611.0,0
332,1816.0791733879455,611.0,0
333,1816.0791733879455,611.0,0
334,1816.0791733879455,613.0,0
335,1814.5769788476166,615.0,0
336,1814.5769788476166,617.0,0
337,1814.5769788476166,619.0,0
338,1814.5769788476166,620.0,0
339,1814.5769788476166,621.0,0
340,1810.0847259493626,621.0,0
341,1810.0847259493626,621.0,0
342,1810.0847259493626,621.0,0
343,1810.0847259493626,621.0,0
344,1810.0847259493626,622.0,0
345,1807.4497442912807,623.0,0
346,1807.4497442912807,624.0,0
347,1807.4497442912807,625.0,0
348,1807.4497442912807,626.0,0
349,1807.4497442912807,626.0,0
350,1808.4141396171071,627.0,0
351,1808.4141396171071,628.0,0
352,1808.4141396171071,629.0,0
353,1808.4141396171071,630.0,0
354,1808.4141396171071,631.0,0
355,1805.1153863631143,632.0,0
356,1805.1153863631143,633.0,0
357,1805.1153863631143,634.0,0
358,1805.1153863631143,635.0,0
359,1805.1153863631143,637.0,0
360,1800.4914329718506,639.0,0
361,1800.4914329718506,641.0,0
362,1800.4914329718506,643.0,0
363,1800.4914329718506,645.0,0
364,1800.4914329718506,647.0,0
365,1796.1406396639443,649.0,0
366,1796.1406396639443,651.0,0
367,1796.1406396639443,653.0,0
368,1796.1406396639443,655.0,0
369,1796.1406396639443,657.0,0
370,1794.8638192040207,659.0,0
371,1794.8638192040207,661.0,0
372,1794.8638192040207,663.0,0
373,1794.8638192040207,665.0,0
374,1794.8638192040207,667.0,0
375,1796.1368805168527,669.0,0
376,1796.1368805168527,670.0,0
377,1796.1368805168527,671.0,0
378,1796.1368805168527,673.0,0
379,1796.1368805168527,675.0,0
380,1796.9957571372754,677.0,0
381,1796.9957571372754,679.0,0
382,1796.9957571372754,681.0,0
383,1796.9957571372754,683.0,0
384,1796.9957571372754,685.0,0
385,1793.5074794570887,687.0,0
386,1793.5074794570887,689.0,0
387,1793.5074794570887,691.0,0
388,1793.5074794570887,693.0,0
389,1793.5074794570887,695.0,0
390,1790.1579201399227,696.0,0
391,1790.1579201399227,697.0,0
392,1790.1579201399227,698.0,0
393,1790.1579201399227,699.0,0
394,1790.1579201399227,700.0,0
395,1789.941531540799,701.0,0
396,1789.941531540799,702.0,0
397,1789.941531540799,703.0,0
398,1789.941531540799,704.0,0
399,1789.941531540799,705.0,0
