run_idx,master_seed,scenario_id,grid_size,noise_std,num_uavs,num_ugvs,steps,ugv_depth,reward_type,discount_factor,cfg.use_cbf,cfg.waypoint_mode,cfg.nominal_mode,cfg.use_voronoi,cfg.use_common_map,cfg.common_map_mode,cfg.signal_mode,cfg.uav_waypoint_signal,cfg.d0,cfg.step_of_ugv_path_used,cfg.ugv_future_path_sigma,cfg.ugv_weight_eta,cfg.ring_d_star,cfg.ring_sigma,cfg.suenaga_rho,cfg.suenaga_depth,cfg.k_pp,cfg.k_ugv,cfg.v_limit,cfg.num_poly,cfg.control_period,cfg.cbf_j_alpha,cfg.cbf_j_gamma,cfg.ugv_move_period,gp_sigma0,gp_max_basis,gp_delta,rbf_sigma,case1_count,case2_count,case3_count,final_total_crop_union,final_true_crop_sum,final_J,init_uav_positions,init_ugv_positions
0,2345,gp_not_colabb,30,0.5,3,2,600,7,6,0.95,True,miyashita,to_waypoint,True,False,direction,gp_logistic_prob,prob_ambiguity,5.0,7,5.0,0.3,8.0,4.0,0.95,5,1.0,1.0,5.0,8,0.1,1.0,6.0,10,0.1,150,0.05,2.0,139,697,0,823.6489156254058,823.6489156254058,314.28000333415935,"[[22.5284855414651, 18.943179478036868], [9.4660757666152, 21.60988721686254], [12.644843616924911, 8.70205902162871]]","[[20.135094209590584, 15.914223381853475], [9.929327990051583, 14.033389595874448]]"
1,2345,gp_not_colabb,30,0.5,3,2,600,7,6,0.95,True,miyashita,to_waypoint,True,False,direction,gp_logistic_prob,prob_ambiguity,5.0,7,5.0,0.3,8.0,4.0,0.95,5,1.0,1.0,5.0,8,0.1,1.0,6.0,10,0.1,150,0.05,2.0,149,723,57,656.5468039896251,656.5468039896251,248.1274318389511,"[[21.90231515870193, 15.01487271834846], [9.08032158171204, 20.48798454714925], [11.459590971394913, 8.565062478050802]]","[[20.404250646463137, 16.71863528609741], [10.92317339619892, 13.389825639924615]]"
2,2345,gp_not_colabb,30,0.5,3,2,600,7,6,0.95,True,miyashita,to_waypoint,True,False,direction,gp_logistic_prob,prob_ambiguity,5.0,7,5.0,0.3,8.0,4.0,0.95,5,1.0,1.0,5.0,8,0.1,1.0,6.0,10,0.1,150,0.05,2.0,149,846,45,663.3551682864257,663.3551682864257,248.1014250884536,"[[23.125531506902426, 16.568728820133213], [13.391416767283111, 22.76680700660939], [11.402472283215136, 9.023163605553961]]","[[20.45404833377297, 15.200243505246783], [9.754644939790744, 13.83820372889403]]"
3,2345,gp_not_colabb,30,0.5,3,2,600,7,6,0.95,True,miyashita,to_waypoint,True,False,direction,gp_logistic_prob,prob_ambiguity,5.0,7,5.0,0.3,8.0,4.0,0.95,5,1.0,1.0,5.0,8,0.1,1.0,6.0,10,0.1,150,0.05,2.0,149,871,41,750.2698210503407,750.2698210503407,218.82190641641262,"[[21.033536838563887, 17.224250783688817], [14.49019235921303, 21.427085214812646], [13.864373266650468, 8.210172018156518]]","[[19.391232384154915, 13.98953025995704], [10.27021097120939, 14.235130390888733]]"
4,2345,gp_not_colabb,30,0.5,3,2,600,7,6,0.95,True,miyashita,to_waypoint,True,False,direction,gp_logistic_prob,prob_ambiguity,5.0,7,5.0,0.3,8.0,4.0,0.95,5,1.0,1.0,5.0,8,0.1,1.0,6.0,10,0.1,150,0.05,2.0,149,678,39,528.9619917701767,528.9619917701767,248.25077601638293,"[[22.392586257224817, 18.15051458045723], [9.096780122310054, 19.845256541049583], [9.49615707245589, 9.756860019135276]]","[[19.725490146920933, 14.688716732344565], [10.085827941961128, 12.571724343757726]]"
5,2345,gp_not_colabb,30,0.5,3,2,600,7,6,0.95,True,miyashita,to_waypoint,True,False,direction,gp_logistic_prob,prob_ambiguity,5.0,7,5.0,0.3,8.0,4.0,0.95,5,1.0,1.0,5.0,8,0.1,1.0,6.0,10,0.1,150,0.05,2.0,149,763,56,493.9799170943291,493.9799170943291,216.95099239210435,"[[22.67841197177526, 16.677108470910735], [14.50758647914644, 21.514447617748683], [14.865675715441272, 6.944514375289922]]","[[19.728196570957778, 17.183373570983555], [9.686601931069369, 15.891976974219686]]"
6,2345,gp_not_colabb,30,0.5,3,2,600,7,6,0.95,True,miyashita,to_waypoint,True,False,direction,gp_logistic_prob,prob_ambiguity,5.0,7,5.0,0.3,8.0,4.0,0.95,5,1.0,1.0,5.0,8,0.1,1.0,6.0,10,0.1,150,0.05,2.0,149,877,41,778.7987674624158,778.7987674624158,252.8430470483582,"[[21.616110588325306, 19.432121900841164], [13.026782652592384, 21.217153720876578], [15.111220675181139, 8.004304208268469]]","[[19.999738666034236, 14.430711357687896], [11.1174655847172, 13.248524694922384]]"
7,2345,gp_not_colabb,30,0.5,3,2,600,7,6,0.95,True,miyashita,to_waypoint,True,False,direction,gp_logistic_prob,prob_ambiguity,5.0,7,5.0,0.3,8.0,4.0,0.95,5,1.0,1.0,5.0,8,0.1,1.0,6.0,10,0.1,150,0.05,2.0,149,874,5,678.0031694215123,678.0031694215123,300.6588930389123,"[[21.672875733951056, 13.113334471161384], [10.720432908280666, 22.028237032044746], [11.577619711786348, 8.83177670825921]]","[[19.698163696569623, 17.90171371636093], [10.23857947208593, 17.38281130552263]]"
8,2345,gp_not_colabb,30,0.5,3,2,600,7,6,0.95,True,miyashita,to_waypoint,True,False,direction,gp_logistic_prob,prob_ambiguity,5.0,7,5.0,0.3,8.0,4.0,0.95,5,1.0,1.0,5.0,8,0.1,1.0,6.0,10,0.1,150,0.05,2.0,99,725,0,404.5004076144705,404.5004076144705,479.39080409002923,"[[22.281582804047744, 12.126903529364924], [11.40009147930484, 21.229948819414435], [10.21080952700882, 9.414201557026487]]","[[19.370260527022303, 16.73996693000608], [10.026941441712228, 14.932716250895337]]"
9,2345,gp_not_colabb,30,0.5,3,2,600,7,6,0.95,True,miyashita,to_waypoint,True,False,direction,gp_logistic_prob,prob_ambiguity,5.0,7,5.0,0.3,8.0,4.0,0.95,5,1.0,1.0,5.0,8,0.1,1.0,6.0,10,0.1,150,0.05,2.0,149,764,88,536.0856345239653,536.0856345239653,225.5338626041573,"[[22.35523973144428, 16.54902241523772], [11.568631884487832, 21.052221405388952], [8.631808569506735, 10.458524910797621]]","[[19.185887416508688, 16.041413785660925], [10.349758536354948, 15.891719025804234]]"
