run_idx,step,J,true_crop_sum,ugv0_y,ugv0_x,ugv0_mu,ugv0_var,ugv0_prob,ugv0_visited_count,ugv0_visited_mu_sum,ugv0_visited_var_sum,ugv0_visited_prob_sum,ugv1_y,ugv1_x,ugv1_mu,ugv1_var,ugv1_prob,ugv1_visited_count,ugv1_visited_mu_sum,ugv1_visited_var_sum,ugv1_visited_prob_sum
0,0,858.6640814156021,11.70036500605672,20,15,0.508673061247486,0.9614730963161167,0.5961733134066985,2,0.5453610292159291,1.9604663389142858,1.1039436711966906,9,14,0.1827579189691901,0.9970430455885341,0.5381509721991389,2,0.21944588693763317,1.996036288186703,1.045921329989131
0,1,856.9599262550996,11.70036500605672,20,16,0.5378372243711694,0.8859207821451213,0.6027402465437651,3,0.8852271189168824,2.8413306675706798,1.6738962049843433,9,13,0.28565266460334787,0.9841516485881083,0.558367738445584,3,0.43987428489991076,2.979677480377357,1.5908680897158356
0,2,856.9599262550996,11.70036500605672,20,16,0.5378372243711694,0.8859207821451213,0.6027402465437651,3,0.8852271189168824,2.8413306675706798,1.6738962049843433,9,13,0.28565266460334787,0.9841516485881083,0.558367738445584,3,0.43987428489991076,2.979677480377357,1.5908680897158356
0,3,856.9599262550996,11.70036500605672,20,16,0.5378372243711694,0.8859207821451213,0.6027402465437651,3,0.8852271189168824,2.8413306675706798,1.6738962049843433,9,13,0.28565266460334787,0.9841516485881083,0.558367738445584,3,0.43987428489991076,2.979677480377357,1.5908680897158356
0,4,856.9599262550996,11.70036500605672,20,16,0.5378372243711694,0.8859207821451213,0.6027402465437651,3,0.8852271189168824,2.8413306675706798,1.6738962049843433,9,13,0.28565266460334787,0.9841516485881083,0.558367738445584,3,0.43987428489991076,2.979677480377357,1.5908680897158356
0,5,856.9599262550996,11.70036500605672,20,16,0.5378372243711694,0.8859207821451213,0.6027402465437651,3,0.8852271189168824,2.8413306675706798,1.6738962049843433,9,13,0.28565266460334787,0.9841516485881083,0.558367738445584,3,0.43987428489991076,2.979677480377357,1.5908680897158356
0,6,843.7701678762235,11.70036500605672,20,16,0.457016591755955,0.8037849416505781,0.5937011706714513,3,0.7909474344354783,2.6384919816357413,1.6654416379859498,9,13,0.3895679074861154,0.9827509561279992,0.5768955922480226,3,0.5915054960098011,2.977744960984524,1.6190881257990584
0,7,843.7701678762235,11.70036500605672,20,16,0.457016591755955,0.8037849416505781,0.5937011706714513,3,0.7909474344354783,2.6384919816357413,1.6654416379859498,9,13,0.3895679074861154,0.9827509561279992,0.5768955922480226,3,0.5915054960098011,2.977744960984524,1.6190881257990584
0,8,843.7701678762235,11.70036500605672,20,16,0.457016591755955,0.8037849416505781,0.5937011706714513,3,0.7909474344354783,2.6384919816357413,1.6654416379859498,9,13,0.3895679074861154,0.9827509561279992,0.5768955922480226,3,0.5915054960098011,2.977744960984524,1.6190881257990584
0,9,843.7701678762235,11.70036500605672,20,16,0.457016591755955,0.8037849416505781,0.5937011706714513,3,0.7909474344354783,2.6384919816357413,1.6654416379859498,9,13,0.3895679074861154,0.9827509561279992,0.5768955922480226,3,0.5915054960098011,2.977744960984524,1.6190881257990584
